0.00000
P: 0.15 I: 72.00, 92, 1443311, 3014.92529
P: -0.15 I: 71.85, 91, 2000112, 3000.00000
P: 0.00 I: 71.85, 91, 2001414, 2985.22168
P: 0.15 I: 72.00, 92, 2003222, 3030.00000
P: -0.30 I: 71.70, 91, 2010022, 3000.00000
P: 0.00 I: 71.70, 91, 2011324, 3091.83667
P: -0.92 I: 70.80, 89, 2013120, 3223.40430
P: -2.23 I: 68.70, 86, 2014343, 3123.71143
P: -1.24 I: 67.50, 86, 2021132, 3107.69238
P: -1.08 I: 66.45, 85, 2022422, 3045.22607
P: -0.45 I: 66.00, 85, 2024221, 3076.14209
P: -0.76 I: 65.25, 84, 2031013, 3030.00000
P: -0.30 I: 64.95, 84, 2032313, 3014.92529
P: -0.15 I: 64.80, 84, 2034114, 3030.00000
P: -0.30 I: 64.50, 84, 2040414, 3091.83667
P: -0.92 I: 63.60, 82, 2042210, 3293.47827
P: -2.93 I: 60.90, 77, 2043424, 3258.06445
P: -2.58 I: 58.50, 75, 2100200, 2858.49048
P: 1.42 I: 60.00, 81, 2102022, 3482.75854
P: -4.83 I: 55.80, 70, 2103221, 3091.83667
P: -0.92 I: 54.90, 73, 2110012, 2845.07031
P: 1.55 I: 56.55, 78, 2111340, 2779.81641
P: 2.20 I: 58.95, 81, 2113223, 2858.49048
P: 1.42 I: 60.45, 81, 2120100, 2705.35718
P: 2.95 I: 63.75, 86, 2121444, 2970.58813
P: 0.29 I: 64.05, 84, 2123303, 2818.60474
P: 1.81 I: 66.00, 87, 2130133, 2845.07031
P: 1.55 I: 67.65, 89, 2132011, 2913.46143
P: 0.87 I: 68.55, 89, 2133324, 2927.53613
P: 0.72 I: 69.30, 90, 2140141, 2941.74756
P: 0.58 I: 69.90, 90, 2142002, 3014.92529
P: -0.15 I: 69.75, 89, 2143303, 2956.09766
P: 0.44 I: 70.20, 90, 2200113, 2941.74756
P: 0.58 I: 70.80, 91, 2201424, 
